Verb,Observed,Expected,Log_Likelihood,Fisher_p_value
open,98,12.46,404.2060828003,3.58897977997114e-18
wrinkle,65,12.46,214.7204441043554,4.828429908200754e-10
change,59,12.46,183.47181595098922,1.1487564932843334e-08
increase,59,12.46,183.47181595098922,1.1487564932843334e-08
heat,55,12.46,163.31058031381397,8.988186928027466e-08
fill,50,12.46,138.9331459412166,1.0941286957640676e-06
dampen,50,12.46,138.9331459412166,1.0941286957640676e-06
collect,50,12.46,138.9331459412166,1.0941286957640676e-06
moisten,46,12.46,120.14738624352658,7.561574662878768e-06
close,45,12.46,115.55738493789056,1.2134997443584966e-05
tilt,44,12.46,111.01183173540073,1.93890341790129e-05
fold,44,12.46,111.01183173540073,1.93890341790129e-05
double,42,12.46,102.0581580704606,4.881715129087031e-05
loosen,38,12.46,84.73199064199083,0.00029128138091395284
advance,37,12.46,80.52875113049008,0.0004490037757183806
alter,37,12.46,80.52875113049008,0.0004490037757183806
crush,36,12.46,76.37957225568935,0.0006879986593764427
clear,35,12.46,72.28595608314035,0.0010476450426862918
strengthen,35,12.46,72.28595608314035,0.0010476450426862918
straighten,34,12.46,68.24949054481233,0.0015849340742367024
break,34,12.46,68.24949054481233,0.0015849340742367024
drain,33,12.46,64.271857019733,0.0023815104827000985
firm,33,12.46,64.271857019733,0.0023815104827000985
narrow,33,12.46,64.271857019733,0.0023815104827000985
heighten,33,12.46,64.271857019733,0.0023815104827000985
blast,32,12.46,60.35483883415977,0.0035530678597401537
light,32,12.46,60.35483883415977,0.0035530678597401537
melt,32,12.46,60.35483883415977,0.0035530678597401537
intensify,31,12.46,56.500330825088305,0.005261634436550718
sharpen,31,12.46,56.500330825088305,0.005261634436550718
improve,30,12.46,52.71035013877052,0.007731268227400723
tighten,30,12.46,52.71035013877052,0.007731268227400723
sicken,29,12.46,48.987048470288656,0.01126756201163609
unfold,28,12.46,45.33272599291654,0.016281081664837403
lessen,27,12.46,41.74984727937084,0.023314354432633525
broaden,27,12.46,41.74984727937084,0.023314354432633525
rekindle,26,12.46,38.2410595842861,0.03307120830928453
ease,26,12.46,38.2410595842861,0.03307120830928453
empty,26,12.46,38.2410595842861,0.03307120830928453
bend,26,12.46,38.2410595842861,0.03307120830928453
chill,26,12.46,38.2410595842861,0.03307120830928453
shorten,26,12.46,38.2410595842861,0.03307120830928453
quicken,25,12.46,34.80921394261103,0.04644606837289878
shut,25,12.46,34.80921394261103,0.04644606837289878
multiply,25,12.46,34.80921394261103,0.04644606837289878
diminish,24,12.46,31.457389647934345,0.06454920235237603
snap,24,12.46,31.457389647934345,0.06454920235237603
accelerate,24,12.46,31.457389647934345,0.06454920235237603
soften,24,12.46,31.457389647934345,0.06454920235237603
reopen,24,12.46,31.457389647934345,0.06454920235237603
weaken,24,12.46,31.457389647934345,0.06454920235237603
divide,23,12.46,28.188922816005807,0.08872191046378844
clean,23,12.46,28.188922816005807,0.08872191046378844
rip,22,12.46,25.007439923062773,0.1205334359648107
soak,22,12.46,25.007439923062773,0.1205334359648107
overturn,21,12.46,21.916897451712607,0.16174928766491958
hasten,21,12.46,21.916897451712607,0.16174928766491958
crease,21,12.46,21.916897451712607,0.16174928766491958
expand,21,12.46,21.916897451712607,0.16174928766491958
compress,21,12.46,21.916897451712607,0.16174928766491958
smooth,20,12.46,18.921629101520438,0.2142593220795237
awaken,19,12.46,16.026402459717495,0.2799542238595192
sour,19,12.46,16.026402459717495,0.2799542238595192
deflate,19,12.46,16.026402459717495,0.2799542238595192
stretch,18,12.46,13.236487627686648,0.36054208470781324
warm,18,12.46,13.236487627686648,0.36054208470781324
dull,18,12.46,13.236487627686648,0.36054208470781324
crack,18,12.46,13.236487627686648,0.36054208470781324
sprout,18,12.46,13.236487627686648,0.36054208470781324
flood,18,12.46,13.236487627686648,0.36054208470781324
halt,18,12.46,13.236487627686648,0.36054208470781324
degrade,18,12.46,13.236487627686648,0.36054208470781324
dissolve,18,12.46,13.236487627686648,0.36054208470781324
chip,17,12.46,10.557741133368026,0.45730382365474287
brighten,17,12.46,10.557741133368026,0.45730382365474287
sweeten,17,12.46,10.557741133368026,0.45730382365474287
dim,17,12.46,10.557741133368026,0.45730382365474287
crystallize,17,12.46,10.557741133368026,0.45730382365474287
lighten,16,12.46,7.996709639161637,0.5707981458359324
fracture,16,12.46,7.996709639161637,0.5707981458359324
tame,16,12.46,7.996709639161637,0.5707981458359324
pop,16,12.46,7.996709639161637,0.5707981458359324
clog,15,12.46,5.560759652586901,0.7005436812809389
neutralize,15,12.46,5.560759652586901,0.7005436812809389
blunt,15,12.46,5.560759652586901,0.7005436812809389
ignite,15,12.46,5.560759652586901,0.7005436812809389
magnify,15,12.46,5.560759652586901,0.7005436812809389
loop,15,12.46,5.560759652586901,0.7005436812809389
reproduce,15,12.46,5.560759652586901,0.7005436812809389
topple,14,12.46,3.2582419407798024,0.844726353256783
inflate,14,12.46,3.2582419407798024,0.844726353256783
tense,14,12.46,3.2582419407798024,0.844726353256783
round,14,12.46,3.2582419407798024,0.844726353256783
purify,14,12.46,3.2582419407798024,0.844726353256783
level,14,12.46,3.2582419407798024,0.844726353256783
hush,14,12.46,3.2582419407798024,0.844726353256783
enlarge,14,12.46,3.2582419407798024,0.844726353256783
widen,14,12.46,3.2582419407798024,0.844726353256783
sear,14,12.46,3.2582419407798024,0.844726353256783
scorch,14,12.46,3.2582419407798024,0.844726353256783
dissipate,14,12.46,3.2582419407798024,0.844726353256783
operate,13,12.46,1.0987030975844727,1.0
condense,13,12.46,1.0987030975844727,1.0
deepen,13,12.46,1.0987030975844727,1.0
tear,13,12.46,1.0987030975844727,1.0
contract,13,12.46,1.0987030975844727,1.0
smash,12,12.46,-0.9068375094715129,1.0
propagate,12,12.46,-0.9068375094715129,1.0
slow,12,12.46,-0.9068375094715129,1.0
worsen,12,12.46,-0.9068375094715129,1.0
slacken,12,12.46,-0.9068375094715129,1.0
heal,12,12.46,-0.9068375094715129,1.0
darken,12,12.46,-0.9068375094715129,1.0
flatten,12,12.46,-0.9068375094715129,1.0
harden,12,12.46,-0.9068375094715129,1.0
quieten,12,12.46,-0.9068375094715129,1.0
attenuate,12,12.46,-0.9068375094715129,1.0
explode,12,12.46,-0.9068375094715129,1.0
rupture,12,12.46,-0.9068375094715129,1.0
crumple,12,12.46,-0.9068375094715129,1.0
dirty,12,12.46,-0.9068375094715129,1.0
thin,11,12.46,-2.7455180107874098,0.838538878984818
detonate,11,12.46,-2.7455180107874098,0.838538878984818
gladden,11,12.46,-2.7455180107874098,0.838538878984818
submerge,11,12.46,-2.7455180107874098,0.838538878984818
split,11,12.46,-2.7455180107874098,0.838538878984818
grow,11,12.46,-2.7455180107874098,0.838538878984818
balance,11,12.46,-2.7455180107874098,0.838538878984818
sink,11,12.46,-2.7455180107874098,0.838538878984818
loose,10,12.46,-4.402129060438686,0.6771246807016951
kindle,10,12.46,-4.402129060438686,0.6771246807016951
cool,10,12.46,-4.402129060438686,0.6771246807016951
mellow,10,12.46,-4.402129060438686,0.6771246807016951
fuse,10,12.46,-4.402129060438686,0.6771246807016951
corrode,10,12.46,-4.402129060438686,0.6771246807016951
crinkle,1,12.46,-5.04538309203196,0.0018134071583910266
mature,1,12.46,-5.04538309203196,0.0018134071583910266
tauten,1,12.46,-5.04538309203196,0.0018134071583910266
steep,1,12.46,-5.04538309203196,0.0018134071583910266
pale,1,12.46,-5.04538309203196,0.0018134071583910266
vary,1,12.46,-5.04538309203196,0.0018134071583910266
acidify,1,12.46,-5.04538309203196,0.0018134071583910266
deteriorate,1,12.46,-5.04538309203196,0.0018134071583910266
liquefy,1,12.46,-5.04538309203196,0.0018134071583910266
emulsify,1,12.46,-5.04538309203196,0.0018134071583910266
putrefy,1,12.46,-5.04538309203196,0.0018134071583910266
degenerate,1,12.46,-5.04538309203196,0.0018134071583910266
hybridize,1,12.46,-5.04538309203196,0.0018134071583910266
macerate,1,12.46,-5.04538309203196,0.0018134071583910266
silver,1,12.46,-5.04538309203196,0.0018134071583910266
collapse,1,12.46,-5.04538309203196,0.0018134071583910266
gray,1,12.46,-5.04538309203196,0.0018134071583910266
smarten,1,12.46,-5.04538309203196,0.0018134071583910266
americanize,1,12.46,-5.04538309203196,0.0018134071583910266
decrease,9,12.46,-5.8584054362356905,0.5227957758404181
crash,9,12.46,-5.8584054362356905,0.5227957758404181
air,9,12.46,-5.8584054362356905,0.5227957758404181
waken,9,12.46,-5.8584054362356905,0.5227957758404181
stiffen,8,12.46,-7.092000069378306,0.3825782695357542
incubate,8,12.46,-7.092000069378306,0.3825782695357542
vibrate,8,12.46,-7.092000069378306,0.3825782695357542
shrink,8,12.46,-7.092000069378306,0.3825782695357542
slack,8,12.46,-7.092000069378306,0.3825782695357542
tan,8,12.46,-7.092000069378306,0.3825782695357542
dry,8,12.46,-7.092000069378306,0.3825782695357542
blacken,8,12.46,-7.092000069378306,0.3825782695357542
disintegrate,2,12.46,-7.318177461824138,0.007325039565558333
vaporize,2,12.46,-7.318177461824138,0.007325039565558333
pulverize,2,12.46,-7.318177461824138,0.007325039565558333
oxidize,2,12.46,-7.318177461824138,0.007325039565558333
distend,2,12.46,-7.318177461824138,0.007325039565558333
frost,2,12.46,-7.318177461824138,0.007325039565558333
splay,2,12.46,-7.318177461824138,0.007325039565558333
crisp,2,12.46,-7.318177461824138,0.007325039565558333
thicken,2,12.46,-7.318177461824138,0.007325039565558333
muddy,2,12.46,-7.318177461824138,0.007325039565558333
even,2,12.46,-7.318177461824138,0.007325039565558333
redden,2,12.46,-7.318177461824138,0.007325039565558333
steepen,2,12.46,-7.318177461824138,0.007325039565558333
ripen,2,12.46,-7.318177461824138,0.007325039565558333
green,2,12.46,-7.318177461824138,0.007325039565558333
roughen,2,12.46,-7.318177461824138,0.007325039565558333
sober,7,12.46,-8.074939557449333,0.26247907890670963
ameliorate,7,12.46,-8.074939557449333,0.26247907890670963
shatter,7,12.46,-8.074939557449333,0.26247907890670963
triple,7,12.46,-8.074939557449333,0.26247907890670963
tire,7,12.46,-8.074939557449333,0.26247907890670963
thaw,7,12.46,-8.074939557449333,0.26247907890670963
stabilize,7,12.46,-8.074939557449333,0.26247907890670963
regularize,3,12.46,-8.544475544087222,0.021126122309590274
fray,3,12.46,-8.544475544087222,0.021126122309590274
petrify,3,12.46,-8.544475544087222,0.021126122309590274
decentralize,3,12.46,-8.544475544087222,0.021126122309590274
warp,3,12.46,-8.544475544087222,0.021126122309590274
char,3,12.46,-8.544475544087222,0.021126122309590274
levitate,3,12.46,-8.544475544087222,0.021126122309590274
fatten,3,12.46,-8.544475544087222,0.021126122309590274
equalize,3,12.46,-8.544475544087222,0.021126122309590274
decompose,6,12.46,-8.7711849214551,0.1664833949252475
energize,6,12.46,-8.7711849214551,0.1664833949252475
polarize,6,12.46,-8.7711849214551,0.1664833949252475
slim,6,12.46,-8.7711849214551,0.1664833949252475
splinter,6,12.46,-8.7711849214551,0.1664833949252475
quiet,6,12.46,-8.7711849214551,0.1664833949252475
burn,6,12.46,-8.7711849214551,0.1664833949252475
fade,4,12.46,-9.091177479168715,0.04876836062792138
whiten,4,12.46,-9.091177479168715,0.04876836062792138
proliferate,4,12.46,-9.091177479168715,0.04876836062792138
freshen,4,12.46,-9.091177479168715,0.04876836062792138
quadruple,4,12.46,-9.091177479168715,0.04876836062792138
democratize,4,12.46,-9.091177479168715,0.04876836062792138
coarsen,4,12.46,-9.091177479168715,0.04876836062792138
shrivel,4,12.46,-9.091177479168715,0.04876836062792138
toughen,4,12.46,-9.091177479168715,0.04876836062792138
crumble,4,12.46,-9.091177479168715,0.04876836062792138
brown,4,12.46,-9.091177479168715,0.04876836062792138
steady,4,12.46,-9.091177479168715,0.04876836062792138
burst,4,12.46,-9.091177479168715,0.04876836062792138
harmonize,4,12.46,-9.091177479168715,0.04876836062792138
abate,4,12.46,-9.091177479168715,0.04876836062792138
rumple,5,12.46,-9.132536335818797,0.09582157512675389
lengthen,5,12.46,-9.132536335818797,0.09582157512675389
evaporate,5,12.46,-9.132536335818797,0.09582157512675389
capsize,5,12.46,-9.132536335818797,0.09582157512675389
defrost,5,12.46,-9.132536335818797,0.09582157512675389
destabilize,5,12.46,-9.132536335818797,0.09582157512675389
solidify,5,12.46,-9.132536335818797,0.09582157512675389
cheapen,5,12.46,-9.132536335818797,0.09582157512675389
freeze,5,12.46,-9.132536335818797,0.09582157512675389
