Verb,Freq_in_Causative,Freq_in_Intransitive,Log_Likelihood,p_value_chi2,Fisher_p_value,Log_Odds_Ratio,Label
vary,1,111,74.4307934,6.28E-18,8.59E-25,-4.37604291,strong repeller
grow,11,137,69.47667191,7.73E-17,1.42E-20,-2.191108621,strong repeller
heat,55,5,61.47270414,4.49E-15,2.14E-16,2.768920684,strong attractor
moisten,46,2,57.25130285,3.84E-14,6.51E-16,3.504482933,strong attractor
dampen,50,4,57.15736128,4.02E-14,1.83E-15,2.895486359,strong attractor
pale,1,82,53.68256727,2.36E-13,3.99E-18,-4.067229663,strong repeller
collect,50,6,51.84681139,6.00E-13,6.75E-14,2.489614994,strong attractor
subside,0,75,51.30900868,7.89E-13,7.01E-18,-23.02585093,strong repeller
collapse,1,78,50.8338053,1.01E-12,4.20E-17,-4.01639416,strong repeller
deteriorate,1,71,45.85660059,1.27E-11,1.38E-15,-3.920922953,strong repeller
degenerate,1,66,42.30806042,7.80E-11,2.90E-14,-3.846868906,strong repeller
burst,4,75,41.48330595,1.19E-10,2.56E-13,-2.589391033,strong repeller
open,98,47,41.32813415,1.29E-10,1.20E-10,1.11001633,weak attractor
wrinkle,65,22,39.38827792,3.47E-10,2.15E-10,1.453859189,weak attractor
strengthen,35,3,38.76145046,4.79E-10,5.49E-11,2.822297074,strong attractor
fill,50,12,38.50869335,5.45E-10,2.72E-10,1.795248053,weak attractor
evaporate,5,73,37.88621846,7.50E-10,4.18E-12,-2.338516713,strong repeller
shrink,8,81,37.18110183,1.08E-09,2.36E-11,-1.973281242,slight repeller
chip,17,102,34.96107026,3.36E-09,2.04E-10,-1.451758427,slight repeller
rekindle,26,0,34.83723521,3.58E-09,9.15E-11,34.78663597,strong attractor
proliferate,4,65,34.52499319,4.21E-09,3.45E-11,-2.444231729,strong repeller
stiffen,8,75,33.15392321,8.51E-09,2.78E-10,-1.895083087,slight repeller
fade,4,63,33.14087709,8.57E-09,1.04E-10,-2.412568001,strong repeller
disintegrate,2,54,31.39536116,2.10E-08,1.38E-10,-2.95029614,strong repeller
light,32,5,29.62279864,5.25E-08,1.79E-08,2.22057554,strong attractor
heighten,33,6,28.7227783,8.35E-08,2.88E-08,2.069114934,strong attractor
crush,36,8,28.4725806,9.50E-08,7.08E-08,1.868915651,weak attractor
crumble,4,53,26.26860277,2.97E-07,1.31E-08,-2.2376718,strong repeller
snap,24,103,25.53578162,4.34E-07,8.73E-08,-1.114841424,slight repeller
firm,33,8,24.65697031,6.85E-07,4.42E-07,1.78102644,weak attractor
loosen,38,12,23.73125382,1.11E-06,7.38E-07,1.517290077,weak attractor
explode,12,68,21.79750384,3.03E-06,5.14E-07,-1.389034088,slight repeller
shorten,26,5,21.65988305,3.26E-06,1.34E-06,2.011183326,strong attractor
tilt,44,19,20.33054242,6.52E-06,4.50E-06,1.204695301,weak attractor
clear,35,12,20.24388152,6.82E-06,4.27E-06,1.43417363,weak attractor
smooth,20,3,18.08954399,2.11E-05,1.26E-05,2.258301078,strong attractor
compress,21,4,17.23640554,3.30E-05,1.54E-05,2.019497521,strong attractor
vibrate,8,50,16.97977681,3.78E-05,1.06E-05,-1.48447975,slight repeller
alter,37,16,16.86323152,4.02E-05,3.17E-05,1.201832888,weak attractor
fold,44,22,16.77540051,4.21E-05,4.09E-05,1.057480517,weak attractor
shut,25,7,16.58853958,4.64E-05,3.35E-05,1.634792195,weak attractor
abate,4,38,16.18751936,5.74E-05,1.03E-05,-1.901893847,slight repeller
blunt,15,1,16.16989929,5.79E-05,1.61E-05,3.068181487,strong attractor
neutralize,15,1,16.16989929,5.79E-05,1.61E-05,3.068181487,strong attractor
thicken,2,31,15.45633313,8.44E-05,8.79E-06,-2.390591481,strong repeller
fracture,16,2,15.02414422,0.000106144,3.88E-05,2.439660837,strong attractor
dirty,12,0,14.81057018,0.000118867,2.36E-05,34.01344608,strong attractor
sharpen,31,13,14.44329942,0.000144443,9.44E-05,1.231396695,weak attractor
clean,23,7,14.2046475,0.000163965,0.000110706,1.550827155,weak attractor
sweeten,17,3,14.12065761,0.000171451,9.67E-05,2.094908404,strong attractor
redden,2,29,14.09708267,0.000173613,2.55E-05,-2.323491777,strong repeller
gladden,11,0,13.38717448,0.000253351,5.74E-05,33.92643471,strong attractor
empty,26,10,13.11220227,0.000293379,0.00023964,1.317019989,weak attractor
blast,32,15,13.01569096,0.000308892,0.000266331,1.119929904,weak attractor
tame,16,3,12.82152461,0.000342654,0.000192205,2.033992704,strong attractor
mature,1,23,12.13197891,0.000495645,7.93E-05,-2.783903165,strong repeller
crash,9,44,11.92135009,0.000554942,0.000216024,-1.237343684,slight repeller
operate,13,52,11.28046394,0.00078327,0.000348198,-1.037149881,slight repeller
shrivel,4,30,11.01549535,0.000903534,0.000322117,-1.663870414,slight repeller
sink,11,47,11.00592054,0.000908213,0.000419926,-1.102664339,slight repeller
decrease,9,42,10.78628548,0.001022549,0.000493211,-1.190414252,slight repeller
darken,12,48,10.34125774,0.001300893,0.000838685,-1.036620612,slight repeller
awake,0,17,10.28937248,0.001337986,0.000203319,-23.02585093,strong repeller
degrade,18,6,9.999112276,0.001566157,0.001250919,1.458601478,weak attractor
attenuate,12,2,9.707307662,0.001835367,0.001416006,2.150815298,strong attractor
clog,15,4,9.697417608,0.001845271,0.001504912,1.68127805,weak attractor
close,45,31,9.5407375,0.00200961,0.00211811,0.735465919,neutral
overturn,21,9,9.154730097,0.00248076,0.002302789,1.207551354,weak attractor
widen,14,50,9.148252059,0.002489558,0.001333609,-0.923120283,neutral
tear,13,3,9.025987269,0.002661681,0.001494775,1.825480612,weak attractor
straighten,34,21,8.883756718,0.002877189,0.0022888,0.843445259,neutral
worsen,12,45,8.791350665,0.003026621,0.001712439,-0.971467526,neutral
harden,12,45,8.791350665,0.003026621,0.001712439,-0.971467526,neutral
crinkle,1,18,8.716404769,0.003153593,0.000740014,-2.537761859,strong repeller
weaken,24,12,8.657502281,0.003257175,0.003281639,1.053665372,weak attractor
dull,18,7,8.589554081,0.003380968,0.003403027,1.304247608,weak attractor
purify,14,4,8.510557756,0.003530918,0.002734476,1.61199427,weak attractor
ease,26,14,8.441798208,0.003666935,0.003231566,0.979734083,neutral
round,14,5,7.008831246,0.008110861,0.004791435,1.388647611,weak attractor
magnify,15,6,6.742797039,0.009412693,0.006610876,1.275406686,weak attractor
chill,26,16,6.640192677,0.009970315,0.007319117,0.845795607,neutral
incubate,8,1,6.604578823,0.010171686,0.004710888,2.437538239,strong attractor
deepen,13,42,6.334115775,0.011843715,0.00852061,-0.821527019,neutral
energize,6,0,6.314414856,0.011976026,0.004873601,33.3202989,strong attractor
