Verb,Observed,Expected,Log_Likelihood,Fisher_p_value
grow,137,17.79,559.3189199437775,8.267971542610064e-25
vary,111,17.79,406.45074290756236,2.708850271904409e-18
snap,103,17.79,361.7479457759454,2.337104871657255e-16
chip,102,17.79,356.24557010868375,4.0548146239761933e-16
change,83,17.79,255.6681550559164,1.0496027340693457e-11
pale,82,17.79,250.5999127110707,1.7591706905665435e-11
shrink,81,17.79,245.55606121472027,2.942255662894608e-11
collapse,78,17.79,230.57390111551763,1.3587576858078128e-10
increase,78,17.79,230.57390111551763,1.3587576858078128e-10
burst,75,17.79,215.82256717654394,6.147368740209555e-10
subside,75,17.79,215.82256717654394,6.147368740209555e-10
stiffen,75,17.79,215.82256717654394,6.147368740209555e-10
evaporate,73,17.79,206.12111254986655,1.661396729707578e-09
deteriorate,71,17.79,196.52926067817234,4.4446198074897985e-09
double,70,17.79,191.77539402326786,7.240892534254259e-09
explode,68,17.79,182.35379203641216,1.9060015054340877e-08
degenerate,66,17.79,173.0498540760539,4.9599857195056075e-08
proliferate,65,17.79,168.44311521305056,7.965559066055801e-08
fade,63,17.79,159.32242964805496,2.035338950848538e-07
disintegrate,54,17.79,119.91380913413175,1.1685051689729475e-05
crumble,53,17.79,115.71181693976708,1.7975768283060465e-05
narrow,53,17.79,115.71181693976708,1.7975768283060465e-05
operate,52,17.79,111.54756283376267,2.7534922410752564e-05
vibrate,50,17.79,103.33520064021286,6.374791522737049e-05
widen,50,17.79,103.33520064021286,6.374791522737049e-05
darken,48,17.79,95.28288114065987,0.00014484095264351152
quicken,48,17.79,95.28288114065987,0.00014484095264351152
sink,47,17.79,91.31880065229988,0.00021671098290508355
tighten,47,17.79,91.31880065229988,0.00021671098290508355
open,47,17.79,91.31880065229988,0.00021671098290508355
break,47,17.79,91.31880065229988,0.00021671098290508355
bend,46,17.79,87.39727656660314,0.00032257279929405605
worsen,45,17.79,83.51923416698723,0.00047759205730702484
harden,45,17.79,83.51923416698723,0.00047759205730702484
crash,44,17.79,79.68563987051746,0.0007032189812458101
hasten,44,17.79,79.68563987051746,0.0007032189812458101
deepen,42,17.79,72.1558840176175,0.001498431254106458
expand,42,17.79,72.1558840176175,0.001498431254106458
decrease,42,17.79,72.1558840176175,0.001498431254106458
abate,38,17.79,57.67755221322801,0.006310610361677579
intensify,38,17.79,57.67755221322801,0.006310610361677579
brighten,38,17.79,57.67755221322801,0.006310610361677579
melt,36,17.79,50.749051638966684,0.012425497837074442
crease,36,17.79,50.749051638966684,0.012425497837074442
pop,36,17.79,50.749051638966684,0.012425497837074442
halt,35,17.79,47.36739437243775,0.017240064699466574
stretch,35,17.79,47.36739437243775,0.017240064699466574
dim,33,17.79,40.77721312107055,0.03240072500695164
rip,32,17.79,37.5721538415174,0.04386005744926308
